epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.4996,1.26395,6.05878,0.03217,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0,0,0
2,2.99612,1.50542,6.40934,0.03641,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0.000633667,0.000633667,0.000633667
3,4.58007,1.20072,6.09385,0.02916,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0.00120133,0.00120133,0.00120133
4,5.89987,1.4285,8.56087,0.05344,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0.001703,0.001703,0.001703
5,7.23994,1.19603,6.6661,0.03277,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0.001604,0.001604,0.001604
6,8.57839,1.07152,4.84106,0.02349,0.00333,1,0.995,0.2985,0.02733,10.6728,0.00083,0.001505,0.001505,0.001505
7,10.2876,1.02325,5.10094,0.02603,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.001406,0.001406,0.001406
8,11.7396,1.16041,5.32609,0.02782,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.001307,0.001307,0.001307
9,13.1019,1.21035,5.44042,0.03298,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.001208,0.001208,0.001208
10,14.5965,1.41251,7.44863,0.04991,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.001109,0.001109,0.001109
11,16.1708,1.20783,10.6989,0.0402,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.00101,0.00101,0.00101
12,17.7128,1.1273,10.6661,0.04034,0.00333,1,0.24875,0.02988,1.57734,9.8945,0.07004,0.000911,0.000911,0.000911
13,19.303,0.95363,10.3302,0.039,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000812,0.000812,0.000812
14,21.1339,1.18235,10.5088,0.0515,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000713,0.000713,0.000713
15,23.1961,0.89265,10.1622,0.041,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000614,0.000614,0.000614
16,24.8881,0.8729,10.0923,0.03639,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000515,0.000515,0.000515
17,26.3255,0.81185,9.96194,0.03389,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000416,0.000416,0.000416
18,27.7822,0.82111,9.97799,0.03211,0.00333,1,0.199,0.0796,1.30636,9.98808,0.04873,0.000317,0.000317,0.000317
19,29.283,1.3766,10.9544,0.06638,0.00333,1,0.33167,0.13267,1.0104,10.0931,0.03576,0.000218,0.000218,0.000218
20,30.7035,0.86392,9.95826,0.03013,0.00333,1,0.33167,0.13267,1.0104,10.0931,0.03576,0.000119,0.000119,0.000119
