FECHA;AÑO;MES;CLIENTES;CODIGO PRODUCTO;CATEGORIA;SUBCATEGORIA;DEMANDA REAL (Q); PRECIO TOTAL ; DESCUENTO ;DSC %; SUBTOTAL PRODUCTO ANTES DE IMPUESTOS ; IVA TOTAL ;IVA %; TOTAL PRODUCTO ; COSTO TOTAL ;GRUPO CLIENTES;TARIFA FACTURA
3/4/2023;2023;ABRIL;CL0026;PR1332;ANTIESTRÉS Y PASATIEMPOS;ROMPECABEZAS;1; $0,75 ; $-   ;0%; $0,75 ; $0,09 ;12%; $0,84 ; $0,43 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
3/4/2023;2023;ABRIL;CL0026;PR0806;ANTIESTRÉS Y PASATIEMPOS;JUEGOS DE MESA;1; $0,28 ; $-   ;0%; $0,28 ; $0,03 ;12%; $0,31 ; $0,18 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
4/4/2023;2023;ABRIL;CL0053;PR1119;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;60; $28,20 ; $-   ;0%; $28,20 ; $3,38 ;12%; $31,58 ; $14,40 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
4/4/2023;2023;ABRIL;CL0040;PR1113;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;12; $5,64 ; $-   ;0%; $5,64 ; $0,68 ;12%; $6,32 ; $2,88 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
5/4/2023;2023;ABRIL;CL0067;PR0794;ANTIESTRÉS Y PASATIEMPOS;JUEGOS DE MESA;2; $9,35 ; $-   ;0%; $9,35 ; $1,12 ;12%; $10,47 ; $5,42 ;PUBLI EMPRESARIAL;PUBLIEMPRESARIAL
5/4/2023;2023;ABRIL;CL0067;PR0469;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;100; $75,89 ; $-   ;0%; $75,89 ; $9,11 ;12%; $85,00 ; $27,00 ;PUBLI EMPRESARIAL;PUBLIEMPRESARIAL
6/4/2023;2023;ABRIL;CL0097;PR0678;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;2711; $1.161,86 ; $-   ;0%; $1.161,86 ; $139,42 ;12%; $1.301,28 ; $731,97 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
10/4/2023;2023;ABRIL;CL0128;PR1120;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;299; $140,95 ; $-   ;0%; $140,95 ; $16,91 ;12%; $157,86 ; $71,76 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
11/4/2023;2023;ABRIL;CL0168;PR1118;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;1; $0,47 ; $-   ;0%; $0,47 ; $0,06 ;12%; $0,53 ; $0,24 ;PUBLI DISTRIBUIDOR;PUBLIDISTRIBUIDOR
11/4/2023;2023;ABRIL;CL0177;PR1117;ANTIESTRÉS Y PASATIEMPOS;PRODUCTOS ANTIESTRES;100; $47,14 ; $-   ;0%; $47,14 ; $5,66 ;12%; $52,80 ; $24,00 ;CLIENTE FINAL;PUBLIDISTRIBUIDOR
